vehicle_id,tire_id,label,start,end,min_pressure,records
VEH-0001,FR,slow_leak,2025-02-27 06:00:00+00:00,2025-06-29 17:30:00+00:00,5.0,2444
VEH-0002,RL,slow_leak,2025-03-14 06:00:00+00:00,2025-06-29 17:30:00+00:00,4.5,2180
VEH-0004,FR,overinflation,2025-06-04 06:00:00+00:00,2025-06-29 15:30:00+00:00,39.13,530
VEH-0005,FL,valve_failure,2025-05-26 06:30:00+00:00,2025-06-29 17:00:00+00:00,23.85,276
VEH-0010,RL,puncture,2025-05-18 06:00:00+00:00,2025-06-29 17:30:00+00:00,4.54,862
VEH-0012,RR,slow_leak,2025-02-02 06:00:00+00:00,2025-06-29 17:30:00+00:00,4.5,2946
VEH-0013,FL,slow_leak,2025-04-13 07:00:00+00:00,2025-06-29 17:30:00+00:00,5.0,1566
VEH-0013,RR,valve_failure,2025-04-22 09:30:00+00:00,2025-06-29 15:30:00+00:00,23.63,568
VEH-0014,FL,slow_leak,2025-03-18 06:00:00+00:00,2025-06-29 17:30:00+00:00,5.0,2098
VEH-0014,RL,valve_failure,2025-03-01 06:00:00+00:00,2025-06-29 17:30:00+00:00,24.31,1004
VEH-0015,FL,overinflation,2025-05-14 06:00:00+00:00,2025-06-29 17:30:00+00:00,32.88,934
VEH-0015,RL,valve_failure,2025-04-06 06:30:00+00:00,2025-06-29 17:30:00+00:00,21.68,704
VEH-0017,FL,slow_leak,2025-04-30 06:00:00+00:00,2025-06-29 17:30:00+00:00,5.0,1226
VEH-0017,FR,valve_failure,2025-04-23 06:00:00+00:00,2025-06-29 17:00:00+00:00,25.21,544
VEH-0020,RL,slow_leak,2025-05-11 08:00:00+00:00,2025-06-29 17:30:00+00:00,4.5,968
VEH-0021,FR,puncture,2025-05-14 06:00:00+00:00,2025-06-29 16:30:00+00:00,5.0,914
VEH-0021,RL,slow_leak,2025-02-20 06:00:00+00:00,2025-06-29 16:30:00+00:00,4.5,2560
VEH-0022,FL,puncture,2025-06-13 06:00:00+00:00,2025-06-29 17:30:00+00:00,5.0,326
VEH-0027,FL,valve_failure,2025-05-07 07:00:00+00:00,2025-06-29 17:30:00+00:00,25.53,421
VEH-0028,RL,overinflation,2025-03-13 06:00:00+00:00,2025-06-29 17:30:00+00:00,33.47,2230
VEH-0029,FR,puncture,2025-05-18 06:00:00+00:00,2025-06-29 17:30:00+00:00,5.0,832
VEH-0031,FR,valve_failure,2025-03-14 06:30:00+00:00,2025-06-29 17:30:00+00:00,23.33,898
VEH-0031,RR,valve_failure,2025-05-20 09:00:00+00:00,2025-06-29 16:30:00+00:00,26.56,357
VEH-0032,FR,slow_leak,2025-04-15 06:00:00+00:00,2025-06-29 17:30:00+00:00,5.0,1524
VEH-0034,FL,slow_leak,2025-03-15 06:00:00+00:00,2025-06-29 17:30:00+00:00,5.0,2124
VEH-0035,RR,slow_leak,2025-03-22 06:00:00+00:00,2025-06-29 17:30:00+00:00,4.5,2002
VEH-0036,RL,valve_failure,2025-03-17 08:00:00+00:00,2025-06-29 16:30:00+00:00,24.04,872
VEH-0037,FR,puncture,2025-04-19 06:00:00+00:00,2025-06-29 17:30:00+00:00,5.0,1458
VEH-0038,FL,overinflation,2025-04-29 07:00:00+00:00,2025-06-29 17:30:00+00:00,34.58,1260
VEH-0041,FL,slow_leak,2025-03-22 06:00:00+00:00,2025-06-29 17:30:00+00:00,5.0,2000
VEH-0041,RR,puncture,2025-03-25 07:00:00+00:00,2025-06-29 17:30:00+00:00,4.5,1938
VEH-0045,RR,slow_leak,2025-04-10 06:00:00+00:00,2025-06-29 16:30:00+00:00,4.5,1640
VEH-0046,RL,slow_leak,2025-05-15 06:00:00+00:00,2025-06-29 17:30:00+00:00,4.5,908
VEH-0047,RL,overinflation,2025-06-01 07:00:00+00:00,2025-06-29 17:30:00+00:00,36.13,596
VEH-0049,RR,slow_leak,2025-02-08 06:00:00+00:00,2025-06-29 17:30:00+00:00,4.5,2848
